Address,Latitude,Longitude,Name,Risk Category Improved,Violation Description Improved,Avg. Inspection Score,Avg. Rating
50 Post St,37.789232,-122.402778,Niji Japanese Grille,Low Risk,Unapproved or unmaintained equipment or utensils,85,3
1779 Folsom St,37.768697,-122.41529,Nihon Whisky Lounge,Moderate Risk,Improper thawing methods,84,3.5
330 Gough St,37.77656241,-122.4228503,Nightbird,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,4
3052 16th St,37.76523,-122.42067,Nieves Cinco de Mayo,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,92,4.5
710 Montgomery St,37.795885,-122.403146,Nico,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4
144 Page St,37.7742424,-122.423233,Nick's Super Market,No Risk,No violation found,100,5
2815 Taylor St,37.80834384,-122.4158666,Nick's Lighthouse,Moderate Risk,Moderate risk food holding temperature,92,3
2815 Taylor St,37.80834384,-122.4158666,Nick's Lighthouse,Low Risk,Unapproved or unmaintained equipment or utensils,96,3
1659 Market St,37.77306747,-122.4213028,Nick's Foods,Low Risk,Unclean nonfood contact surfaces,66,4
1500 Broadway,37.79607,-122.42196,Nick's Crispy Tacos,Low Risk,Improper or defective plumbing,96,4
311 California St,37.79301879,-122.4004764,Newtree,Low Risk,Unapproved or unmaintained equipment or utensils,94,3.5
311 California St,37.79301879,-122.4004764,Newtree,Low Risk,Permit license or inspection report not posted,85,3.5
311 California St,37.79301879,-122.4004764,Newtree,High Risk,High risk food holding temperature,85,3.5
1 Ecker St,37.7899864,-122.3993247,Newtree,Low Risk,Permit license or inspection report not posted,85,4
1002 Potrero Ave,37.756,-122.406912,Newkirk's,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,91,4.5
29 Grove St,37.77869672,-122.415884,New York Tobacco,Low Risk,Unclean or degraded floors walls or ceilings,94,3.5
127 Eddy St,37.78426699,-122.4098088,New York Pizza Kitchen,Moderate Risk,Foods not protected from contamination,90,3
5641 Geary Blvd,37.77999,-122.47998,New World Market,No Risk,No violation found,100,4
5641 Geary Blvd,37.77999,-122.47998,New World Market,Moderate Risk,Inadequate and inaccessible handwashing facilities,76,4
699 Jackson St,37.7958799,-122.40649,New Woey Loy Goey Restaurant,Low Risk,Unclean or degraded floors walls or ceilings,85,3.5
811 Ulloa St,37.74052,-122.46543,New Tsing Tao Restaurant,High Risk,Unclean hands or improper use of gloves,70,4
1054 Taraval St,37.74321,-122.47767,New Taraval Cafe,Moderate Risk,Moderate risk food holding temperature,81,4
606 Broadway,37.7979555,-122.4072331,New Sun Hong Kong Restaurant,Moderate Risk,Inadequate and inaccessible handwashing facilities,86,3
269 14th St,37.768267,-122.419331,New Star Market,Moderate Risk,Moderate risk food holding temperature,94,4.5
1198 Pacific Ave,37.79595606,-122.4148379,New Russian Hill Market,No Risk,No violation found,100,4
638 Pacific Ave,37.79716873,-122.4063568,New Regent Cafe,High Risk,High risk vermin infestation,68,3.5
500 Eddy St,37.7836108,-122.4160935,New Princess Market,Low Risk,Improper storage of equipment utensils or linens,70,4
3123 Clement St,37.781469,-122.492873,New Oyaji Restaurant,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,4
1247 Stockton St,37.797309,-122.408814,New Moon,Low Risk,Improper storage of equipment utensils or linens,83,3.5
641 Mission St,37.7870716,-122.4008016,New Ming's Restaurant,Low Risk,Improper storage use or identification of toxic substances,86,3.5
1207 Stockton St,37.79692,-122.40873,New Luen Sing Fish Market,Moderate Risk,Inadequate and inaccessible handwashing facilities,84,3
400 Clement St,37.78323,-122.46359,New Lien Hing,Moderate Risk,Moderate risk food holding temperature,84,3
1532 Noriega St,37.75432,-122.48032,New Jumbo Seafood Restaurant,High Risk,Improper cooling methods,57,2.5
652 Pacific Ave,37.79697999,-122.4066364,New Hollywood Bakery & Restaurant,Low Risk,Improper food storage,83,4
2701 20th St,37.75918124,-122.4080664,New Hampshire Market,Moderate Risk,Foods not protected from contamination,96,5
1041 Stockton St,37.79554,-122.40848,New Golden Daisy,Low Risk,Unclean or degraded floors walls or ceilings,82,4
815 Stockton St,37.79335,-122.40801,New Fortune Restaurant,Low Risk,Unapproved or unmaintained equipment or utensils,91,4.5
907 Irving St,37.76384,-122.46764,New Eritrea Restaurant & Bar,Moderate Risk,Inadequate and inaccessible handwashing facilities,89,4
3319 Balboa St,37.77559,-122.49449,New Dumpling King,Moderate Risk,Moderate risk food holding temperature,86,4
160 Ellis St,37.7855156,-122.4089729,New Delhi Restaurant,High Risk,Improper cooling methods,75,3.5
3798 Mission St,37.73607636,-122.4247742,New College Hill Market,Low Risk,Unclean or degraded floors walls or ceilings,98,4.5
145 Bosworth St,37.73327,-122.42835,New Bosworth Market,Low Risk,Unclean nonfood contact surfaces,92,3.5
772 Pacific Ave,37.797,-122.40801,New Asia Chinese Restaurant,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,76,3
90 Grant Ave,37.787675,-122.404846,Nespresso Boutique,Moderate Risk,Inadequate and inaccessible handwashing facilities,92,3.5
90 Grant Ave,37.787675,-122.404846,Nespresso Boutique,Low Risk,Permit license or inspection report not posted,98,3.5
150 Stockton St,37.78743412,-122.406417,Neiman Marcus,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,92,3.5
150 Stockton St,37.78743412,-122.406417,Neiman Marcus,Low Risk,Unclean nonfood contact surfaces,96,3.5
499 Douglass St,37.75556957,-122.4387935,Neighbor's Corner,Low Risk,Inadequate ventilation or lighting,94,5
2343 3rd St,37.759631,-122.388171,Neighbor Bakehouse,Moderate Risk,Moderate risk food holding temperature,92,4.5
1059 Powell St,37.794544,-122.409887,Navin Thai Restaurant,Moderate Risk,Moderate risk food holding temperature,92,4
1650 Holloway Ave,37.72232149,-122.4783166,Natural Sensations,No Risk,No violation found,100,4
1650 Holloway Ave,37.72232149,-122.4783166,Natural Sensations,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,92,4
1650 Holloway Ave,37.72232149,-122.4783166,Natural Sensations,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,4
1650 Holloway Ave,37.72232149,-122.4783166,Natural Sensations,Low Risk,Unapproved or unmaintained equipment or utensils,98,4
1650 Holloway Ave,37.72232149,-122.4783166,Natural Sensations,Low Risk,Food safety certificate or food handler card not available,98,4
262 Divisadero St,37.77147295,-122.436936,Native Twins Coffee,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,4.5
168 Sutter St,37.7900285,-122.4032507,Native Co.,Moderate Risk,Foods not protected from contamination,89,4
168 Sutter St,37.7900285,-122.4032507,Native Co.,Low Risk,Unclean or degraded floors walls or ceilings,81,4
3420 Geary Blvd,37.7815791,-122.4561358,Native Burger,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,85,4.5
550 Gene Friend Way,37.7691477,-122.3903652,Native Baking Company,No Risk,No violation found,100,5
518 Haight St,37.77216653,-122.4306757,Nara Restaurant & Sake Bar,Moderate Risk,Inadequate and inaccessible handwashing facilities,88,4.5
1045 Polk St,37.78651428,-122.4200821,Napoli Pizza,Low Risk,Unapproved or unmaintained equipment or utensils,88,3.5
1756 Stockton St,37.8021,-122.40928,Napoli Market,Moderate Risk,Foods not protected from contamination,96,3.5
1192 Geneva Ave,37.7141,-122.43664,Naples Pizzarella,Low Risk,Unapproved or unmaintained equipment or utensils,83,2.5
1737 Post St,37.785176,-122.430585,Nande-Ya,Low Risk,Unclean nonfood contact surfaces,74,2.5
1737 Post St,37.785176,-122.430585,Nande-Ya,High Risk,Improper cooling methods,93,2.5
1360 9th Ave,37.76291,-122.4659,Nan King Road Bistro,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,90,4
553 Divisadero St,37.77469278,-122.438025,Namu Stonepot,Moderate Risk,Moderate risk food holding temperature,92,3.5
553 Divisadero St,37.77469278,-122.438025,Namu Stonepot,High Risk,High risk food holding temperature,79,3.5
981 Geneva Ave,37.71601,-122.43948,Nameless Tea & Coffee,Moderate Risk,Inadequate and inaccessible handwashing facilities,84,3.5
227 King St,37.7770192,-122.3925832,Nama Sushi SF,Moderate Risk,Foods not protected from contamination,82,3
504 Broadway,37.79819,-122.40569,Naked Lunch,Low Risk,Low risk vermin infestation,92,4
601 Mission Bay Blvd N,37.77069356,-122.3935498,Naked Chicken,Moderate Risk,Moderate risk food holding temperature,96,4
559 Hayes St,37.77636337,-122.4255981,Nabila's Naturals,Moderate Risk,Foods not protected from contamination,96,4
1325 9th Ave,37.76369301,-122.4663469,Nabe,Moderate Risk,Insufficient hot water or running water,92,4
1325 9th Ave,37.76369301,-122.4663469,Nabe,High Risk,High risk food holding temperature,91,4
5338 Geary Blvd,37.78076,-122.47679,Na Ya Dessert Cafe,Low Risk,Unapproved or unmaintained equipment or utensils,91,3.5
535 Octavia St,37.77721,-122.424937,Na Ya Dessert Cafe,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4
535 Octavia St,37.77721,-122.424937,Na Ya Dessert Cafe,Low Risk,Improper storage of equipment utensils or linens,96,4
2491 Mission St,37.757248,-122.418733,Myriad Gastropub,High Risk,Unclean or unsanitary food contact surfaces,91,4.5
1500 California St,37.79094006,-122.4192695,Mymy,Moderate Risk,Foods not protected from contamination,96,4
4627 Geary Blvd,37.7806563,-122.4691286,My Tofu House,Low Risk,Unapproved or unmaintained equipment or utensils,94,4
2110 Clement St,37.7824,-122.48196,My Favorite Cafe,Low Risk,Other low risk violation,90,3.5
2666 Ocean Ave,37.73244794,-122.4744766,My Cup of Tea,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4
101 Spear St,37.7925598,-122.3938405,Muskaan Cuisine of India,Moderate Risk,Moderate risk vermin infestation,89,1.5
101 Spear St,37.7925598,-122.3938405,Muskaan Cuisine of India,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,76,1.5
101 Spear St,37.7925598,-122.3938405,Muskaan Cuisine of India,High Risk,High risk food holding temperature,82,1.5
1 Grant Ave,37.78698,-122.40517,Museum of Ice Cream,Moderate Risk,Insufficient hot water or running water,96,3
217 Kearny St,37.79009,-122.40413,Murphy's Pub,Low Risk,Low risk vermin infestation,84,3
307 Kearny St,37.791036,-122.404233,Muracci's Japanese Curry & Grill,Low Risk,Improper food storage,87,4
643 Clay St,37.794422,-122.403868,MunchBoxx,Moderate Risk,Inadequate and inaccessible handwashing facilities,88,4
1800 Sutter St,37.78662,-122.43029,Mums Home of Shabu Shabu,Moderate Risk,Moderate risk vermin infestation,84,3.5
401 Balboa St,37.77713,-122.46317,Muguboka Restaurant,Low Risk,Unapproved or unmaintained equipment or utensils,94,4
521 Valencia St,37.7645,-122.42158,Muddy Waters Coffee House,Low Risk,Unapproved or unmaintained equipment or utensils,98,3
11 3rd St,37.7874057,-122.4032241,Mrs. Fields Cookies,Low Risk,Unclean or degraded floors walls or ceilings,98,2.5
11 3rd St,37.7874057,-122.4032241,Mrs. Fields Cookies,High Risk,Unclean or unsanitary food contact surfaces,91,2.5
4689 Mission St,37.72322,-122.43556,Mr. T Cafe,Low Risk,Inadequate ventilation or lighting,90,4
3380 20th St,37.75900269,-122.4165344,Mr. Pickle's Sandwich Shop,Moderate Risk,Moderate risk food holding temperature,90,4
699 22nd St,37.7578152,-122.3880343,Mr. and Mrs. Miscellaneous,No Risk,No violation found,100,4.5
890 Taraval St,37.74331,-122.47544,Mr Szechuan,Low Risk,Unapproved or unmaintained equipment or utensils,90,4.5
2680 22nd St,37.75628,-122.40837,Mr Pizza Man,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,80,2.5
1042 Larkin St,37.78759094,-122.4183526,Mr Holmes Bakehouse,Low Risk,Improper or defective plumbing,98,4
1018 Taraval St,37.74313954,-122.4771415,Mr Bread,Moderate Risk,Moderate risk vermin infestation,90,4.5
3605 Balboa St,37.7755706,-122.4975768,Mr Banh Mi,High Risk,Unclean or unsanitary food contact surfaces,79,4.5
3228 16th St,37.76489,-122.42488,Mozzeria,Moderate Risk,Moderate risk food holding temperature,92,4.5
1737 Post St,37.785329,-122.430259,MoYo's Froyo,High Risk,Improper cooling methods,93,3.5
774 Commercial St,37.7939911,-122.4058685,Mow Lee Shing Kee & Company,Low Risk,Unapproved or unmaintained equipment or utensils,80,4.5
140 New Montgomery St,37.78661,-122.4,Mourad Restaurant,High Risk,Unclean or unsanitary food contact surfaces,91,4
887 Geary St,37.78599868,-122.4178382,Moulin Rouge Restaurant,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,96,4
2015 Greenwich St,37.79907227,-122.4328613,Motel Capri,Low Risk,Permit license or inspection report not posted,98,3
2092 3rd St,37.76318,-122.38908,Moshi Moshi,Low Risk,Unapproved or unmaintained equipment or utensils,92,4
280 Golden Gate Ave,37.78188,-122.41522,Morty's Delicatessen,High Risk,Improper cooling methods,77,4
3698 17th St,37.7630481,-122.4284266,Morning Due Cafe,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,90,4
401 Sansome St,37.79405,-122.40163,Morning Brew Coffee & Tea,Moderate Risk,Moderate risk vermin infestation,86,3
17 St Potrero Hill,37.76459064,-122.407586,Mora Taco Truck,High Risk,High risk food holding temperature,86,4.5
634 Cortland Ave,37.73876,-122.4153,Moonlight Cafe,Low Risk,Unapproved or unmaintained equipment or utensils,87,4
510 Stevenson St,37.7815976,-122.410121,Montesacro Pinseria SF,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,79,4.5
599 Monterey Blvd,37.73126,-122.44871,Monterey Pizza & Asian Zap,Moderate Risk,Foods not protected from contamination,90,4
499 Monterey Blvd,37.73134,-122.44643,Monterey Deli,Low Risk,No thermometers or uncalibrated thermometers,98,4.5
451 Gough St,37.7775266,-122.4231575,Monsieur Benjamin,No Risk,No violation found,100,4
1870 Sacramento St,37.79140854,-122.4237442,Monroe Residence Club,No Risk,No violation found,100,3
473 Broadway St,37.79787,-122.40494,Monroe,High Risk,Unclean or unsanitary food contact surfaces,93,4
842 Geary St,37.7863701,-122.4170819,Mongol Cafe,Low Risk,Unapproved or unmaintained equipment or utensils,92,3.5
248 Hyde St,37.7831896,-122.415642,Mong Thu Cafe,High Risk,Improper cooling methods,87,4.5
353 Columbus Ave,37.798371,-122.407778,Mona Lisa Restaurant,Low Risk,Improper storage of equipment utensils or linens,79,4
10 Market St,37.7945413,-122.3949711,MOMOlicious,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,94,4.5
,37.79106,-122.40175,MOMO noodle,Low Risk,Other low risk violation,98,4
4201 18th St,37.76068,-122.43639,Mollie Stone's,No Risk,No violation found,100,3.5
4201 18th St,37.76068,-122.43639,Mollie Stone's,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,3.5
373 Columbus Ave,37.79838,-122.40782,Molinari Delicatessen,High Risk,Improper cooling methods,87,4.5
1605 Polk St,37.79171436,-122.4210632,Moka Coffee,Moderate Risk,Inadequate and inaccessible handwashing facilities,88,3.5
4401 Geary Blvd,37.78081633,-122.4665898,Modera Liquor & Wine,Low Risk,Other low risk violation,96,4.5
1469 18th St,37.76242,-122.39718,Mochica,Moderate Risk,Foods not protected from contamination,88,4
1322 Grant Ave,37.79909,-122.40704,Mo's Grill,High Risk,High risk food holding temperature,82,4
4406 California St,37.78519821,-122.464859,Mizutani Sushi Bar,Low Risk,Improper food storage,88,4
1470 Fillmore St,37.78309914,-122.432462,Miyako Old Fashioned Ice Cream,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,87,4.5
115 Cyril Magnin St,37.78569,-122.40891,Miyabiya Sushi and Grill,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,3.5
253 Church St,37.76678,-122.42852,Miyabi Sushi,Moderate Risk,Foods not protected from contamination,82,3.5
688 San Jose Ave,37.744221,-122.422791,Mitchell's Ice Cream,No Risk,No violation found,100,4.5
28 Waverly Pl,37.7937724,-122.4067594,Mister Jiu's,Moderate Risk,Inadequate and inaccessible handwashing facilities,88,4
2738 Mission St,37.75321,-122.41889,Mission's Kitchen,Low Risk,Improper food storage,81,4
780 Mission St,37.78509519,-122.4041912,Mission Street Pantry,Moderate Risk,Insufficient hot water or running water,96,3
817 Terry Francois Blvd,37.76552933,-122.3865987,Mission Rock Resort,Moderate Risk,Noncompliance with shell fish tags or display,92,3.5
983 Valencia St,37.75722,-122.42085,Mission Picnic,No Risk,No violation found,100,4
3168 22nd St,37.7555774,-122.4180857,Mission Minis,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,96,3.5
2960 16th St,37.7652076,-122.4190561,Mission Hunan Restaurant,High Risk,High risk food holding temperature,87,3.5
2950 23rd St,37.75447,-122.41128,Mission Groceteria,Low Risk,Unclean or degraded floors walls or ceilings,92,5
2434 Mission St,37.75796,-122.41928,Mission Curry House,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,86,4.5
2234 Mission St,37.761204,-122.4195,Mission Chinese Food,High Risk,Improper cooling methods,83,3.5
736 Valencia St,37.76113,-122.42184,Mission Cheese,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,90,4
3176 17th St,37.76393,-122.41672,Mission Bowling Club,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4
198 Guerrero St,37.768133,-122.424713,Mission Beach Cafe,High Risk,Improper cooling methods,65,4
5249 Mission St,37.71467,-122.4423,Mission Asia Noodle,Low Risk,Improper food storage,87,4.5
388 Market St,37.79221,-122.39816,Miss Tomato Sandwich Shop,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,81,4
388 Market St,37.79221,-122.39816,Miss Tomato Sandwich Shop,Low Risk,Unapproved or unmaintained equipment or utensils,90,4
755 Portola Dr,37.74377,-122.45366,Miraloma Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,74,3
28 Van Ness Ave,37.77589987,-122.4193003,Mini Cafe,Moderate Risk,Inadequate and inaccessible handwashing facilities,69,4
2129 Taraval St,37.74221,-122.48906,Ming's Diner,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,59,3.5
1548 Ocean Ave,37.7247201,-122.4590121,Ming Kee Restaurant,No Risk,No violation found,100,4
2495 San Bruno Ave,37.73052408,-122.4046935,Ming Hui Dim Sum,High Risk,High risk food holding temperature,84,4
385 Taylor St,37.7857406,-122.4114323,Million Thai Restaurant,High Risk,Unclean or unsanitary food contact surfaces,80,3.5
1085 Sutter St,37.78772,-122.41816,Miller's Rest,High Risk,Improper cooling methods,93,4.5
1725 Polk St,37.79273,-122.42145,Miller's East Coast Deli,Low Risk,Improper food storage,83,3.5
1717 17th St,37.764589,-122.401264,Milkbomb Ice Cream,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,4.5
881 Post St,37.7871613,-122.4162122,Milkbean,Low Risk,Improper food storage,92,4.5
606 Geary St,37.78691,-122.41343,Milan Pizza,Low Risk,Improper food storage,86,3.5
34 Mason St,37.783976,-122.408981,Mikkeller Bar,High Risk,High risk food holding temperature,93,4
3639 Balboa St,37.77547,-122.49795,Miki Restaurant,High Risk,Improper cooling methods,85,4
2200 Silver Ave,37.7364399,-122.3985598,Mike's Market,Low Risk,Unapproved or unmaintained equipment or utensils,94,4.5
2499 Mission St,37.75715925,-122.418874,Mike's Liquors & Groceries,Low Risk,Inadequate dressing rooms or improper storage of personal items,96,4
323 Grant Ave,37.7900359,-122.4055552,Mikaku Restaurant,Low Risk,Unclean or degraded floors walls or ceilings,81,3.5
1 Ferry Bldg,37.79557338,-122.3931414,Mijita,Moderate Risk,Insufficient hot water or running water,86,2.5
449 Octavia St,37.77635322,-122.4246921,Miette Patisserie & Confiserie,Moderate Risk,Inadequate and inaccessible handwashing facilities,90,4
868 Geary St,37.7862617,-122.417649,Mid City Market,Low Risk,Unclean nonfood contact surfaces,89,4
579 Columbus Ave,37.8,-122.41012,Michelangelo Ristorante & Caffe,Moderate Risk,Foods not protected from contamination,96,3.5
2198 Union St,37.79728,-122.43536,Michaelis Wine & Spirits,High Risk,High risk vermin infestation,87,4.5
252 California St,37.7934609,-122.3996416,Michael Mina,Low Risk,Inadequate warewashing facilities or equipment,88,4
2126 Irving St,37.76356,-122.48067,Micado Restaurant,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,79,3.5
645 Irving St,37.7639596,-122.465019,Mi-Tea,Low Risk,Improper storage of equipment utensils or linens,98,3
2845 Mission St,37.7515301,-122.4181987,Mi Yucatan,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,86,3.5
2023 Mission St,37.7645945,-122.4194465,Mi Tierra Market,High Risk,High risk food holding temperature,93,3.5
2765 Mission St,37.75283,-122.41814,Mi Pueblito Market,Low Risk,Unapproved  living quarters in food facility,85,3.5
4581 Mission St,37.7249,-122.43429,Mexico Tipico,Moderate Risk,Improper thawing methods,65,4
24 S Park Ave,37.782291,-122.393665,Mexico au Parc,High Risk,Improper cooling methods,67,3.5
247 Fillmore St,37.77182348,-122.4305532,Metro Caffe,Moderate Risk,Moderate risk food holding temperature,96,4
135 4th St,37.78415156,-122.4031739,Metreon,No Risk,No violation found,100,3.5
135 4th St,37.78415156,-122.4031739,Metreon,Moderate Risk,Inadequate and inaccessible handwashing facilities,83,3.5
135 4th St,37.78415156,-122.4031739,Metreon,Low Risk,Unclean nonfood contact surfaces,90,3.5
595 Bryant St,37.77959,-122.39777,Mestiza Taqueria,Moderate Risk,Moderate risk food holding temperature,88,3.5
3750 Geary Blvd,37.7815208,-122.4598389,Mescolanza,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4
699 Ave Of The Palms,37.82257194,-122.3758539,Mersea,Low Risk,Improper food storage,98,4.5
201 Octavia Blvd,37.77400821,-122.4241948,Mercury Cafe,Moderate Risk,Insufficient hot water or running water,94,4
1365 Fillmore St,37.78215499,-122.4325019,Merchant Roots,Moderate Risk,Noncompliance with HAACP plan or variance,74,4.5
1365 Fillmore St,37.78215499,-122.4325019,Merchant Roots,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4.5
927 Post St,37.78705,-122.41714,Meraki Market,Moderate Risk,Inadequate procedures or records for time as a public health control,90,4
672 Geary St,37.78669085,-122.4143263,Mensho Tokyo,High Risk,Improper cooling methods,87,4
1701 Noriega St,37.7538646,-122.482019,Menkee Wonton,Low Risk,Unclean or degraded floors walls or ceilings,73,3
465 California St,37.79278,-122.40219,Mendocino Farms,Low Risk,Inadequate warewashing facilities or equipment,94,4
536 Golden Gate Ave,37.78119519,-122.4194386,Mela Tandoori Kitchen,Moderate Risk,Moderate risk food holding temperature,84,4
3355 Geary Blvd,37.78117,-122.45488,Mel's Drive-In,Low Risk,Unclean or degraded floors walls or ceilings,89.66666667,3
1328 Stockton St,37.798084,-122.40847,Mee Mee Bakery,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,92,3
3465 19th St,37.76002,-122.42076,Media Noche,Moderate Risk,Moderate risk food holding temperature,89,4
,37.76483917,-122.3947525,Me So Hungry,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,92,3.5
5131 Mission St,37.7165911,-122.4406626,McGarden Bakery,High Risk,High risk vermin infestation,80,4
2801 Mission St,37.7521054,-122.4180956,McDonald's,No Risk,No violation found,100,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Moderate Risk,Moderate risk vermin infestation,96,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Moderate Risk,Insufficient hot water or running water,94,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Moderate Risk,Inadequate procedures or records for time as a public health control,90,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Moderate Risk,Foods not protected from contamination,88,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,89,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Low Risk,Unclean nonfood contact surfaces,96,2.5
2801 Mission St,37.7521054,-122.4180956,McDonald's,Low Risk,Unapproved or unmaintained equipment or utensils,94,2.5
501 Fell St,37.7753,-122.42621,Mazzat,Moderate Risk,Inadequate and inaccessible handwashing facilities,76,4
720 Market St,37.78757998,-122.4040565,Mazarine Coffee,Moderate Risk,Insufficient hot water or running water,96,4
470 Green St,37.80002,-122.40714,Maykadeh,High Risk,High risk food holding temperature,91,4
1233 Polk St,37.7883142,-122.4203981,Mayes Oyster House,High Risk,Improper cooking time or temperatures,81,3
550 15th St,37.76742,-122.40622,Mayah's Restaurant Cafe,Moderate Risk,Moderate risk vermin infestation,82,4.5
1256 7th Ave,37.76486,-122.46396,May Lee Chinese Restaurant,Low Risk,Unclean or degraded floors walls or ceilings,80,3.5
398 Dolores St,37.76313784,-122.4265427,Maxfield's House of Caffeine,No Risk,No violation found,100,3
601 Van Ness Ave,37.78116189,-122.4209019,Max's Opera Cafe,Moderate Risk,Moderate risk vermin infestation,96,3
601 Van Ness Ave,37.78116189,-122.4209019,Max's Opera Cafe,Low Risk,Unclean nonfood contact surfaces,77,3
601 Van Ness Ave,37.78116189,-122.4209019,Max's Opera Cafe,Low Risk,Food safety certificate or food handler card not available,83,3
598 Haight St,37.77205614,-122.4319291,Maven,Moderate Risk,Moderate risk food holding temperature,92,4
665 Valencia St,37.76223,-122.42134,Mau,Low Risk,Unapproved or unmaintained equipment or utensils,85,4
1 Market St,37.7932183,-122.3946979,Matko,No Risk,No violation found,100,4
1 Market St,37.7932183,-122.3946979,Matko,Moderate Risk,Insufficient hot water or running water,83,4
1 Market St,37.7932183,-122.3946979,Matko,Moderate Risk,Inadequate and inaccessible handwashing facilities,89.5,4
1 Market St,37.7932183,-122.3946979,Matko,Low Risk,Unapproved or unmaintained equipment or utensils,96,4
1 Market St,37.7932183,-122.3946979,Matko,Low Risk,Improper food storage,98,4
1 Market St,37.7932183,-122.3946979,Matko,High Risk,No hot water or running water,62,4
1 Market St,37.7932183,-122.3946979,Matko,High Risk,Mobile food facility with unapproved operating conditions,85,4
1 Market St,37.7932183,-122.3946979,Matko,High Risk,High risk food holding temperature,89,4
315 5th St,37.7800134,-122.4029654,Mathilde French Bistro,Low Risk,Improper or defective plumbing,92,4.5
2471 Mission St,37.75754,-122.41876,Mateo's Taqueria,Low Risk,Improper food storage,86,4
1799 McAllister St,37.77729411,-122.4414619,Matching Half Cafe,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,4
1581 Webster St,37.785051,-122.432095,Matcha Cafe Maiko,Moderate Risk,Insufficient hot water or running water,94,4.5
679 Sutter St,37.78873,-122.41149,Matador,High Risk,High risk food holding temperature,93,4
532 Green St,37.79971436,-122.4080074,Massawa Restaurant,Low Risk,Unclean or degraded floors walls or ceilings,92,4.5
320 Mason St,37.7866275,-122.409877,Mason Diner,Low Risk,Unclean or degraded floors walls or ceilings,88,3
1375 9th Ave,37.76258995,-122.466286,Masala Dosa,Moderate Risk,Moderate risk food holding temperature,94,3.5
2931 16th St,37.7649327,-122.4183186,Maruya,Low Risk,Unapproved or unmaintained equipment or utensils,91,4
3251 20th Ave,37.72856,-122.47688,Marugame Udon,No Risk,No violation found,100,4
3251 20th Ave,37.72856,-122.47688,Marugame Udon,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,84,4
3251 20th Ave,37.72856,-122.47688,Marugame Udon,Moderate Risk,Inadequate and inaccessible handwashing facilities,88.33333333,4
3251 20th Ave,37.72856,-122.47688,Marugame Udon,Moderate Risk,Foods not protected from contamination,92,4
3251 20th Ave,37.72856,-122.47688,Marugame Udon,Low Risk,Unclean or degraded floors walls or ceilings,69,4
529 Powell St,37.78963384,-122.4088257,Maru Sushi,Low Risk,Unapproved or unmaintained equipment or utensils,92,3.5
